feature1;feature2;type
7.9557462063233215;5.4326337593435605;-1
7.496796946335088;8.212283584951596;-1
7.3436072046693575;3.8666642921877683;-1
9.891845356750164;3.0296890904921896;-1
2.1798621044553306;2.1352548090143797;1
8.083466931270896;4.485020957172144;-1
-0.12998605204047053;1.1136275021568054;1
-1.1753864679750772;4.178678616699159;1
0.43231780827805344;2.6499228273818303;1
8.155254910033298;6.314689837572901;-1
7.394268101574356;5.254600212876149;-1
8.431101828296821;6.013450596381125;-1
7.5788249578373215;4.1673869861903325;-1
-0.716829834915096;2.6901056594252286;1
0.9804139901069296;3.6112136047668733;1
-2.8392426585266826;1.2827415758175695;1
8.140329829643543;6.9470964714432535;-1
10.446642495112112;5.533583397299322;-1
-1.2502155968496358;1.4325505466232538;1
-2.398843571883388;2.2200720879483007;1
-3.735398626206443;1.9376021802588093;1
6.862566725002419;2.186081224996787;-1
6.635035476482216;5.710500839362814;-1
7.374463125366727;1.701218771531212;-1
7.537031764176993;6.569726453193472;-1
-0.2218277067107819;1.84426828708436;1
-3.7332398525894046;3.220002549668638;1
7.677021990335633;3.667370788620558;-1
0.4465006557331617;1.6157862193721555;1
0.3493050543181333;3.1977076892062324;1
0.6856025317362857;0.7020873288436782;1
-0.18832748061059146;2.762168625240528;1
0.61232945003588;1.3414578982899874;1
-1.0632368222137436;1.9220842809482617;1
-1.5704783517228629;0.7384381941159863;1
-2.4447549605246306;5.475459733035756;1
-0.027030235851393303;2.496889252468261;1
-1.5992642845566154;2.5959801823000666;1
-3.6839437411376426;3.7001628078851794;1
8.745748005187927;6.326271407393979;-1
2.5085532176522345;1.8755315079007544;1
-1.4683778567431829;2.69280023324269;1
1.0846255456355132;2.2994285797063667;1
-2.7605528727233266;1.4196449136491944;1
-0.4086461918417197;0.4563097595451073;1
6.5357136384223375;4.552391250645663;-1
8.029772891234984;6.065820262288692;-1
2.3090339635496377;3.497845134008723;1
8.783716175934789;8.19011316087367;-1
0.1770384689448361;1.6998842195738126;1
10.58130124803588;3.0743089979585516;-1
7.8745201022370335;1.1542939385227946;-1
0.8023390152888525;1.4380545185694005;1
-0.610135245922409;2.144182099457855;1
8.057428770497646;2.4610815222423152;-1
9.313978119811097;7.354457550352919;-1
7.3011067056110575;5.696464396271063;-1
7.845730087451582;5.744295897324835;-1
-0.4528285874920662;6.0506629594164965;1
1.6827541762228169;0.8481141093219056;1
6.90551025164234;3.5159201323837324;-1
6.496825666812122;4.4761031100781885;-1
-1.9228940741565137;2.5230172975973617;1
-3.2678957595552007;0.12308325199666735;1
7.0190029751153205;4.952565534682336;-1
7.395016845403457;5.081110409025284;-1
0.07618325639896395;2.5646681193575622;1
-1.855520609710234;4.610183684076576;1
7.5837130560052355;4.2533925609851835;-1
7.291283960684093;5.1813014649111855;-1
8.329799739517842;5.041860449000021;-1
5.446091427182922;6.39024246992666;-1
7.624956669769219;4.603460739486538;-1
-1.646926220885886;2.8220468218732373;1
-0.8817322814412875;2.5027241613761166;1
6.835419368625696;6.336542901207657;-1
7.629971242574582;2.9565889695165515;-1
8.697180990172084;0.787218723168257;-1
10.21201885351447;5.555229383078856;-1
9.637396883400859;4.461684327083248;-1
-2.937803052451064;0.7523633355562713;1
-2.3156435086735376;0.7033954107845233;1
-1.2836978048224228;1.9763486047213357;1
-1.8239425412674533;2.8467332514567456;1
1.4666884775395088;4.678092102171154;1
8.843937184323577;5.720822093288523;-1
7.750803454454306;6.093682760346173;-1
0.638270757437019;2.914188224888376;1
-1.9813551643866598;3.5138788092733764;1
7.290984750901003;5.350778006714837;-1
-0.23802891009239746;0.8324680384070359;1
-0.5423150137361538;1.081956796972298;1
7.182857893729747;7.126018277098675;-1
0.3791358635829887;5.3675292628961015;1
-2.11000217235379;2.01593660738045;1
7.233524047498327;5.025017526558417;-1
9.26430147407343;6.936785102056283;-1
8.451216566531038;6.905409887662108;-1
7.57358018709731;4.128123734861852;-1
8.473765403368006;7.595908173124293;-1
-2.044367261409816;3.209453508449458;1
1.1282863278688415;1.6243395064307435;1
-2.9916319464778254;0.6056994272711309;1
9.431895449301232;7.503146641584786;-1
7.87192599353053;4.909787785493627;-1
0.6896332392578717;1.265265133906763;1
7.786749437716197;4.669069212034456;-1
5.315732882231533;5.8927209346537985;-1
-0.7734756450735836;5.010519320580906;1
-0.7895695101472486;1.4809415510624553;1
7.0914648555023945;5.7909492483988565;-1
7.446074341382809;2.268307584739106;-1
-2.070610815427533;2.534889002548166;1
-0.3903338850532144;3.0608743833143146;1
9.264982132093325;5.026390762828775;-1
0.5207176486334408;3.9130599610915615;1
8.165559459759997;6.252184232228767;-1
-1.7007044295225646;3.6099440390999153;1
5.86254752621614;5.778082214509403;-1
-1.2030559538252783;2.645049646746938;1
1.4115773909793037;2.1472356373752657;1
5.948501110062508;5.854838642311178;-1
7.088594960008045;7.975234034308378;-1
10.522084208612252;5.422190931346835;-1
7.250737619659409;4.835347365289484;-1
7.573465840270785;6.07190860339044;-1
-0.6790332158372638;1.3482524964825278;1
0.9064037532219792;3.6444042375814414;1
0.15805298817704438;2.7956393483630637;1
3.8266398176056793;9.477868617618917;-1
8.10650435913362;6.062020345208831;-1
-0.10619671521462848;1.7893684261889429;1
10.652215462197702;4.226517334346065;-1
-1.513039575464317;2.552152051061217;1
8.450796960971482;5.326864339335434;-1
7.3768384182865825;3.995663070918411;-1
9.190053207144498;7.161811834793706;-1
2.1234033790930633;1.4367337430310991;1
6.446268571049304;5.604990264324393;-1
1.0679970688993632;2.6140491213442467;1
5.272393157637111;4.518133515728444;-1
9.607337779840266;5.4336520095558605;-1
8.570415862193093;7.21995005596722;-1
-1.4547754172630576;0.02432835260847721;1
-2.047610450525301;-0.4619405918707016;1
-1.7074128456765143;2.9387980035065846;1
-1.0145598745418858;1.8614529148913148;1
6.938542535372137;4.433367632825132;-1
0.17441923299248507;2.72196260252766;1
-0.024136078160622687;3.340676766746125;1
-0.7136527038775105;1.6622128541702141;1
-4.1832038287013456;2.640413928188152;1
0.8927879831611103;3.1298027327296944;1
-3.2629067550632067;2.6013726308366536;1
-0.11888973131029268;2.238880197434354;1
1.20851449909467;3.1104478934301945;1
9.983771782981844;4.092283742526223;-1
7.634306019945773;5.273972722247235;-1
9.167281007285547;5.411156725805261;-1
7.310560534604328;7.605452292603301;-1
8.994437020610475;4.826883190635028;-1
-0.6629651182925694;2.198513920868676;1
8.678919120454173;5.529628359990358;-1
1.0588312497284087;3.2276511434632464;1
8.122937103357927;3.3300435295723254;-1
10.609500401966717;5.307892408092331;-1
9.454837662234123;4.975581396908773;-1
8.1240553562869;4.354011633140767;-1
1.7069774231058992;2.9373806776751934;1
7.6848805473208115;0.7266702667013291;-1
7.9744274940902065;2.664613764584203;-1
0.5628266243304351;2.9899335035821486;1
-1.9233558386634424;3.2609554803013907;1
0.3178073101055212;1.7597401203733078;1
9.58084511410783;4.238960477192208;-1
-1.2905154890187729;0.9716796829031518;1
-0.8492554114353541;1.3013472376235071;1
-0.011774448808844151;3.3875182215348474;1
-2.213839647497248;0.2888476306479766;1
-1.4538839884765649;1.42651747479958;1
-1.577911974545959;2.4115097511186456;1
6.868051400709655;3.2373455405622846;-1
-0.1611104310953828;3.2881934504392265;1
-0.18987160698410374;4.096504609371896;1
-2.4765024477092323;1.2763469290365683;1
5.200731345469982;5.582660219798376;-1
-2.1255071528177405;2.5022300316624184;1
-2.9537449954833264;-0.2288308258351868;1
-0.19909125994359697;1.4375093202674574;1
-0.25305912332158315;0.2536142941755468;1
-0.59463116004817;0.2888824487037329;1
7.931308184292057;5.311962350848902;-1
-1.1924862833150724;2.6510998669335333;1
-2.679507554146234;0.5220849906894287;1
-3.056556939314569;4.2249559851427945;1
0.9246897985223376;2.968957654855526;1
8.925611427853205;6.578623531599745;-1
8.873788801306453;2.353016900172646;-1
-1.5883463955326915;6.180567778317733;1
-4.546099633745175;2.8842914422169867;1
8.148529930976991;7.008106840323527;-1
-1.8237853304513407;2.758058384451603;1
-0.8844448315378957;-0.5332149093106193;1
0.4870162360053414;-1.4952693600491775;1
-0.7588410749281943;0.8397880285980237;1
-1.206997526751185;2.3087267259497777;1
-0.9104151657075632;1.5746257782313209;1
0.9081833014926156;0.21344878461829087;1
-1.5209472803682522;2.5564514884746665;1
6.811369972793506;7.146681804094295;-1
7.323877976497426;5.693366588260642;-1
2.044863432306471;4.107830666151667;1
8.37897020208966;3.542231642460835;-1
8.383118630065121;2.4076207442507127;-1
-0.534575982421579;0.4915750509372971;1
4.0567960002200865;4.809644365330417;-1
-0.8820701750554802;3.1978932346089866;1
-1.3114228292069874;3.1385991947533016;1
-0.8849205765111964;1.5103810884565227;1
-1.0779511873002805;1.9176428529229963;1
